Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
Narino,Colombia,5/27/2021,238152,,,5/27/2021,17022
Norte de Santander,Colombia,5/27/2021,232308,,,5/27/2021,17023
Putumayo,Colombia,5/27/2021,28356,,,5/27/2021,17024
Quindio,Colombia,5/27/2021,138074,,,5/27/2021,17025
Risaralda,Colombia,5/27/2021,214695,,,5/27/2021,17026
San Andres y Providencia,Colombia,5/27/2021,14650,,,5/27/2021,17027
Santander,Colombia,5/27/2021,451380,,,5/27/2021,17028
Sucre,Colombia,5/27/2021,141931,,,5/27/2021,17029
Tolima,Colombia,5/27/2021,262563,,,5/27/2021,17030
Valle del Cauca,Colombia,5/27/2021,821411,,,5/27/2021,17031
Vaupes,Colombia,5/27/2021,14753,,,5/27/2021,17032
Vichada,Colombia,5/27/2021,4036,,,5/27/2021,17033
,Costa Rica,5/27/2021,1457802,867517,590285,5/27/2021,188
,Cote d'Ivoire,5/27/2021,496319,496319,0,5/27/2021,384
,Croatia,5/27/2021,1645332,1221109,424223,5/27/2021,191
,Cyprus,5/27/2021,560664,376676,183988,5/27/2021,196
,Czechia,5/27/2021,4924949,3640012,1318766,5/27/2021,203
,Denmark,5/27/2021,3202613,1984642,1217971,5/27/2021,208
Faroe Islands,Denmark,5/27/2021,30719,,,5/27/2021,234
Greenland,Denmark,5/27/2021,20606,,,5/27/2021,304
,Dominica,5/27/2021,34219,19360,14859,5/27/2021,212
,Dominican Republic,5/27/2021,3948015,3003678,944337,5/27/2021,214
,Ecuador,5/27/2021,2025156,1509795,515361,5/27/2021,218
,Egypt,5/27/2021,2128164,1812826,315338,5/27/2021,818
,El Salvador,5/27/2021,1787527,1115104,672423,5/27/2021,222
,Equatorial Guinea,5/27/2021,206625,142475,64150,5/27/2021,226
,Estonia,5/27/2021,664701,452850,211851,5/27/2021,233
,Eswatini,5/27/2021,35227,35227,0,5/27/2021,748
,Ethiopia,5/27/2021,1655244,1655244,0,5/27/2021,231
,Fiji,5/27/2021,93000,93000,0,5/27/2021,242
,Finland,5/27/2021,2810669,2375612,435057,5/27/2021,246
,France,5/27/2021,33681416,23752184,10139195,5/27/2021,250
,Gabon,5/27/2021,17272,10670,6602,5/27/2021,266
,Gambia,5/27/2021,26893,26593,300,5/27/2021,270
,Georgia,5/27/2021,138781,121263,17518,5/27/2021,268
,Germany,5/27/2021,47358842,34773942,13053626,5/27/2021,276
,Ghana,5/27/2021,847871,847871,0,5/27/2021,288
,Greece,5/27/2021,5206825,3416341,1880694,5/27/2021,300
,Grenada,5/27/2021,19519,13744,5775,5/27/2021,308
,Guatemala,5/27/2021,409532,374708,34824,5/27/2021,320
,Guinea,5/27/2021,285924,206331,79593,5/27/2021,324
,Guyana,5/27/2021,245614,187234,58380,5/27/2021,328
,Honduras,5/27/2021,208843,136476,27585,5/27/2021,340
,Hungary,5/27/2021,8384309,5056262,3328047,5/27/2021,348
,Iceland,5/27/2021,257385,164273,80611,5/27/2021,352
,India,5/27/2021,199535470,156189641,42235974,5/27/2021,356
Andaman and Nicobar Islands,India,5/27/2021,121086,,,5/27/2021,35601
Andhra Pradesh,India,5/27/2021,8459763,,,5/27/2021,35602
Arunachal Pradesh,India,5/27/2021,329357,,,5/27/2021,35603
Assam,India,5/27/2021,3934911,,,5/27/2021,35604
Bihar,India,5/27/2021,10063930,,,5/27/2021,35605
Chandigarh,India,5/27/2021,324813,,,5/27/2021,35606
Chhattisgarh,India,5/27/2021,6940576,,,5/27/2021,35607
Dadra and Nagar Haveli and Daman and Diu,India,5/27/2021,168678,,,5/27/2021,35608
Delhi,India,5/27/2021,5225240,,,5/27/2021,35609
Goa,India,5/27/2021,503061,,,5/27/2021,35610
Gujarat,India,5/27/2021,16087126,,,5/27/2021,35611
Haryana,India,5/27/2021,5609362,,,5/27/2021,35612
Himachal Pradesh,India,5/27/2021,2383578,,,5/27/2021,35613
Jammu and Kashmir,India,5/27/2021,3094621,,,5/27/2021,35614
Jharkhand,India,5/27/2021,4036657,,,5/27/2021,35615
Karnataka,India,5/27/2021,12589837,,,5/27/2021,35616
Kerala,India,5/27/2021,8787307,,,5/27/2021,35617
Ladakh,India,5/27/2021,138443,,,5/27/2021,35618
Lakshadweep,India,5/27/2021,31380,,,5/27/2021,35637
Madhya Pradesh,India,5/27/2021,10177398,,,5/27/2021,35619
Maharashtra,India,5/27/2021,21352323,,,5/27/2021,35620
Manipur,India,5/27/2021,435917,,,5/27/2021,35621
Meghalaya,India,5/27/2021,449703,,,5/27/2021,35622
Mizoram,India,5/27/2021,307157,,,5/27/2021,35623
Nagaland,India,5/27/2021,260696,,,5/27/2021,35624
Odisha,India,5/27/2021,7375678,,,5/27/2021,35625
Puducherry,India,5/27/2021,254136,,,5/27/2021,35626
Punjab,India,5/27/2021,4890425,,,5/27/2021,35627
Rajasthan,India,5/27/2021,16364179,,,5/27/2021,35628
Sikkim,India,5/27/2021,237947,,,5/27/2021,35629
Tamil Nadu,India,5/27/2021,7914277,,,5/27/2021,35630
Telangana,India,5/27/2021,5652269,,,5/27/2021,35631
Tripura,India,5/27/2021,1567456,,,5/27/2021,35632
Uttar Pradesh,India,5/27/2021,17074158,,,5/27/2021,35633
Uttarakhand,India,5/27/2021,2837799,,,5/27/2021,35634
West Bengal,India,5/27/2021,13554226,,,5/27/2021,35635
,Indonesia,5/27/2021,25782177,15546158,10236019,5/27/2021,360
,Iran,5/27/2021,3141577,2738504,403073,5/27/2021,364
,Iraq,5/27/2021,549969,453361,0,5/27/2021,368
,Ireland,5/27/2021,2349207,1734234,514808,5/27/2021,372
,Israel,5/27/2021,10578111,5447224,5124113,5/27/2021,376
,Italy,5/27/2021,32582895,21960738,10906649,5/27/2021,380
Abruzzo,Italy,5/27/2021,738723,,,5/27/2021,38013
Basilicata,Italy,5/27/2021,312082,,,5/27/2021,38017
Calabria,Italy,5/27/2021,982227,,,5/27/2021,38018
Campania,Italy,5/27/2021,3063606,,,5/27/2021,38015
Emilia-Romagna,Italy,5/27/2021,2458465,,,5/27/2021,38008
Friuli Venezia Giulia,Italy,5/27/2021,686058,,,5/27/2021,38006
Lazio,Italy,5/27/2021,3149071,,,5/27/2021,38012
Liguria,Italy,5/27/2021,904077,,,5/27/2021,38007
Lombardia,Italy,5/27/2021,5638799,,,5/27/2021,38003
